,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
285,Leap!,"$84,197,417 ","$2,844,490 ",3.40%,"$81,352,927 ",96.60%
286,Ouija: Origin Of Evil,"$81,705,746 ","$35,144,505 ",43%,"$46,561,241 ",57%
287,Underworld: Blood Wars,"$81,093,313 ","$30,353,973 ",37.40%,"$50,739,340 ",62.60%
288,Manchester by the Sea,"$78,988,148 ","$47,695,371 ",60.40%,"$31,292,777 ",39.60%
289,The Boss,"$78,844,582 ","$63,285,885 ",80.30%,"$15,558,697 ",19.70%
290,Shin Godzilla,"$77,947,607 ","$1,918,403 ",2.50%,"$76,029,204 ",97.50%
291,Mike and Dave Need Wedding Dates,"$77,068,246 ","$46,009,673 ",59.70%,"$31,058,573 ",40.30%
292,Tyler Perry's Boo! A Madea Halloween,"$74,827,344 ","$73,206,343 ",97.80%,"$1,621,001 ",2.20%
293,Miracles from Heaven,"$73,883,359 ","$61,705,123 ",83.50%,"$12,178,236 ",16.50%
294,I Am Not Madame Bovary,"$70,826,207 ","$436,798 ",0.60%,"$70,389,409 ",99.40%
295,Kubo and the Two Strings,"$69,929,545 ","$48,023,088 ",68.70%,"$21,906,457 ",31.30%
296,One Piece Film: Gold,"$66,207,073 ","$423,593 ",0.60%,"$65,783,480 ",99.40%
297,Moonlight,"$65,046,687 ","$27,854,932 ",42.80%,"$37,191,755 ",57.20%
298,Monster Trucks,"$64,493,915 ","$33,370,166 ",51.70%,"$31,123,749 ",48.30%
299,Fences,"$64,414,761 ","$57,682,904 ",89.50%,"$6,731,857 ",10.50%
300,"Hail, Caesar!","$63,647,656 ","$30,498,085 ",47.90%,"$33,149,571 ",52.10%
301,The Nice Guys,"$62,788,218 ","$36,261,763 ",57.80%,"$26,526,455 ",42.20%
302,Huo guo ying xiong,"$58,106,427 ","$779,818 ",1.30%,"$57,326,609 ",98.70%
303,L.O.R.D: Legend of Ravaging Dynasties,"$58,089,494 ","$350,456 ",0.60%,"$57,739,038 ",99.40%
304,Nine Lives,"$57,814,445 ","$19,700,032 ",34.10%,"$38,114,413 ",65.90%
305,Zoolander 2,"$56,722,693 ","$28,848,693 ",50.90%,"$27,874,000 ",49.10%
306,Barbershop: The Next Cut,"$55,030,051 ","$54,030,051 ",98.20%,"$1,000,000 ",1.80%
307,The Age of Shadows,"$54,491,162 ","$541,719 ",1%,"$53,949,443 ",99%
308,Tunnel,"$52,444,295 ","$568,876 ",1.10%,"$51,875,419 ",98.90%
309,The Finest Hours,"$52,099,090 ","$27,569,558 ",52.90%,"$24,529,532 ",47.10%
310,Master,"$51,624,799 ","$597,251 ",1.20%,"$51,027,548 ",98.80%
311,Patriots Day,"$50,549,909 ","$31,886,361 ",63.10%,"$18,663,548 ",36.90%
312,The Wailing,"$49,851,770 ","$786,633 ",1.60%,"$49,065,137 ",98.40%
313,So Young 2: Never Gone,"$48,980,792 ","$96,421 ",0.20%,"$48,884,371 ",99.80%
314,Florence Foster Jenkins,"$48,902,953 ","$27,383,770 ",56%,"$21,519,183 ",44%
315,Mother's Day,"$48,782,670 ","$32,492,859 ",66.60%,"$16,289,811 ",33.40%
316,Luck-Key,"$48,165,531 ","$466,505 ",1%,"$47,699,026 ",99%
317,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","$47,899,805 ","$257,343 ",0.50%,"$47,642,462 ",99.50%
318,A Monster Calls,"$47,309,313 ","$3,740,823 ",7.90%,"$43,568,490 ",92.10%
319,Eddie the Eagle,"$46,152,800 ","$15,789,389 ",34.20%,"$30,363,411 ",65.80%
320,Risen,"$46,069,568 ","$36,880,033 ",80.10%,"$9,189,535 ",19.90%
321,Blair Witch,"$45,173,154 ","$20,777,061 ",46%,"$24,396,093 ",54%
322,Café Society,"$43,763,247 ","$11,103,205 ",25.40%,"$32,660,042 ",74.60%
323,League of Gods,"$43,498,766 ","$181,633 ",0.40%,"$43,317,133 ",99.60%
324,Almost Christmas,"$42,580,920 ","$42,158,780 ",99%,"$422,140 ",1%
325,The Witch,"$40,423,945 ","$25,138,705 ",62.20%,"$15,285,240 ",37.80%
326,The Wild Life,"$39,543,581 ","$8,005,586 ",20.20%,"$31,537,995 ",79.80%
327,"Crouching Tiger, Hidden Dragon: Sword of Destiny","$38,659,039 ",-,-,"$38,659,039 ",100%
328,Absolutely Fabulous: The Movie,"$37,915,971 ","$4,772,155 ",12.60%,"$33,143,816 ",87.40%
329,Hell or High Water,"$37,879,877 ","$27,007,844 ",71.30%,"$10,872,033 ",28.70%
330,The Handmaiden,"$37,692,886 ","$2,006,788 ",5.30%,"$35,686,098 ",94.70%
331,The Forest,"$37,608,299 ","$26,594,261 ",70.70%,"$11,014,038 ",29.30%
332,Snowden,"$37,279,439 ","$21,587,519 ",57.90%,"$15,691,920 ",42.10%
333,Eye in the Sky,"$35,259,653 ","$18,704,595 ",53%,"$16,555,058 ",47%
334,Billy Lynn's Long Halftime Walk,"$30,930,984 ","$1,738,477 ",5.60%,"$29,192,507 ",94.40%
335,Norm of the North,"$30,734,502 ","$17,062,499 ",55.50%,"$13,672,003 ",44.50%
336,When the Bough Breaks,"$30,658,387 ","$29,747,603 ",97%,"$910,784 ",3%
337,Nocturnal Animals,"$30,311,857 ","$10,663,357 ",35.20%,"$19,648,500 ",64.80%
338,A Silent Voice: The Movie,"$30,156,463 ","$310,407 ",1%,"$29,846,056 ",99%
339,Keeping Up with the Joneses,"$29,918,745 ","$14,904,426 ",49.80%,"$15,014,319 ",50.20%
340,Masterminds,"$29,674,699 ","$17,368,022 ",58.50%,"$12,306,677 ",41.50%
341,Ae Dil Hai Mushkil,"$28,360,590 ","$4,264,983 ",15%,"$24,095,607 ",85%
342,Fan,"$28,240,000 ","$2,300,000 ",8.10%,"$25,940,000 ",91.90%
343,M.S. Dhoni: The Untold Story,"$27,755,817 ","$1,801,550 ",6.50%,"$25,954,267 ",93.50%
344,The Light Between Oceans,"$25,975,621 ","$12,545,979 ",48.30%,"$13,429,642 ",51.70%
345,Mr. Donkey,"$25,537,759 ","$356,255 ",1.40%,"$25,181,504 ",98.60%
346,A Beautiful Planet,"$25,488,406 ","$15,593,935 ",61.20%,"$9,894,471 ",38.80%
347,The Brothers Grimsby,"$25,182,929 ","$6,874,837 ",27.30%,"$18,308,092 ",72.70%
348,Born in China,"$25,081,168 ","$13,873,211 ",55.30%,"$11,207,957 ",44.70%
349,Race,"$25,070,261 ","$19,206,207 ",76.60%,"$5,864,054 ",23.40%
350,Free State of Jones,"$25,035,950 ","$20,810,036 ",83.10%,"$4,225,914 ",16.90%
351,Whiskey Tango Foxtrot,"$24,972,139 ","$23,083,334 ",92.40%,"$1,888,805 ",7.60%
352,The Snow Queen 3: Fire and Ice,"$24,643,054 ",-,-,"$24,643,054 ",100%
353,God's Not Dead 2,"$24,487,848 ","$20,774,575 ",84.80%,"$3,713,273 ",15.20%
354,Jackie,"$24,270,399 ","$13,960,394 ",57.50%,"$10,310,005 ",42.50%
355,The Founder,"$24,121,245 ","$12,786,053 ",53%,"$11,335,192 ",47%
356,Bad Santa 2,"$24,079,268 ","$17,782,178 ",73.80%,"$6,297,090 ",26.20%
357,Spirits' Homecoming,"$23,857,217 ","$125,616 ",0.50%,"$23,731,601 ",99.50%
358,Silence,"$23,737,523 ","$7,100,177 ",29.90%,"$16,637,346 ",70.10%
359,Kevin Hart: What Now?,"$23,591,043 ","$23,591,043 ",100%,-,-
360,No manches Frida,"$23,540,937 ","$11,528,613 ",49%,"$12,012,324 ",51%
361,Middle School: The Worst Years of My Life,"$23,316,139 ","$20,007,149 ",85.80%,"$3,308,990 ",14.20%
362,Rock Dog,"$23,157,646 ","$9,420,546 ",40.70%,"$13,737,100 ",59.30%
363,Triple 9,"$23,119,442 ","$12,639,297 ",54.70%,"$10,480,145 ",45.30%
364,The Choice,"$23,064,015 ","$18,730,891 ",81.20%,"$4,333,124 ",18.80%
365,Hunt for the Wilderpeople,"$22,867,989 ","$5,205,468 ",22.80%,"$17,662,521 ",77.20%
366,Sweet Sixteen,"$22,819,702 ","$34,327 ",0.20%,"$22,785,375 ",99.80%
367,Captain Fantastic,"$22,787,101 ","$5,879,835 ",25.80%,"$16,907,266 ",74.20%
368,Live by Night,"$22,678,555 ","$10,378,555 ",45.80%,"$12,300,000 ",54.20%
369,Julieta,"$22,468,044 ","$1,490,948 ",6.60%,"$20,977,096 ",93.40%
370,Love & Friendship,"$21,401,949 ","$14,016,568 ",65.50%,"$7,385,381 ",34.50%
371,The Infiltrator,"$21,011,110 ","$15,436,808 ",73.50%,"$5,574,302 ",26.50%
372,Keanu,"$20,651,333 ","$20,591,853 ",99.70%,"$59,480 ",0.30%
373,Cock and Bull,"$20,490,872 ","$82,778 ",0.40%,"$20,408,094 ",99.60%
374,In This Corner of the World,"$19,496,308 ","$172,147 ",0.90%,"$19,324,161 ",99.10%
375,My Annoying Brother,"$19,162,324 ","$51,996 ",0.30%,"$19,110,328 ",99.70%
376,The Edge of Seventeen,"$18,803,648 ","$14,431,633 ",76.70%,"$4,372,015 ",23.30%
377,The Wasted Times,"$18,345,372 ","$386,540 ",2.10%,"$17,958,832 ",97.90%
378,Asura,"$18,300,843 ","$175,702 ",1%,"$18,125,141 ",99%
379,Hardcore Henry,"$16,810,562 ","$9,252,038 ",55%,"$7,558,524 ",45%
380,The Birth of a Nation,"$16,779,212 ","$15,861,566 ",94.50%,"$917,646 ",5.50%
381,Pride and Prejudice and Zombies,"$16,405,171 ","$10,938,134 ",66.70%,"$5,467,037 ",33.30%
382,"I, Daniel Blake","$15,793,051 ","$260,354 ",1.60%,"$15,532,697 ",98.40%
383,Kapoor & Sons,"$15,396,447 ","$2,607,036 ",16.90%,"$12,789,411 ",83.10%
384,Irreplaceable,"$15,130,912 ","$8,494 ",<0.1%,"$15,122,418 ",99.90%
385,Three,"$15,121,228 ","$119,550 ",0.80%,"$15,001,678 ",99.20%
386,The Take,"$14,857,808 ","$50,269 ",0.30%,"$14,807,539 ",99.70%
387,Seondal: The Man Who Sells the River,"$14,777,982 ","$97,477 ",0.70%,"$14,680,505 ",99.30%
388,Sword Master,"$14,714,624 ","$75,526 ",0.50%,"$14,639,098 ",99.50%
389,"Hello, My Name Is Doris","$14,659,448 ","$14,444,999 ",98.50%,"$214,449 ",1.50%
390,The Other Side of the Door,"$14,332,467 ","$3,000,342 ",20.90%,"$11,332,125 ",79.10%
391,A United Kingdom,"$13,819,139 ","$3,902,185 ",28.20%,"$9,916,954 ",71.80%
392,Sing Street,"$13,624,522 ","$3,237,118 ",23.80%,"$10,387,404 ",76.20%
393,Phantom of the Theatre,"$13,526,843 ","$43,955 ",0.30%,"$13,482,888 ",99.70%
394,Ratchet and Clank,"$13,385,737 ","$8,821,329 ",65.90%,"$4,564,408 ",34.10%
395,Hillary's America: The Secret History of the Democratic Party,"$13,099,931 ","$13,099,931 ",100%,-,-
396,Shut In,"$13,082,071 ","$6,900,335 ",52.70%,"$6,181,736 ",47.30%
397,Loving,"$12,957,265 ","$7,751,969 ",59.80%,"$5,205,296 ",40.20%
398,Elle,"$12,748,594 ","$2,341,534 ",18.40%,"$10,407,060 ",81.60%
399,The Beatles: Eight Days a Week - The Touring Years,"$12,283,800 ","$2,930,414 ",23.90%,"$9,353,386 ",76.10%
400,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889 ","$620,181,382 ",46.50%,"$712,358,507 ",53.50%
401,Beauty and the Beast,"$1,263,521,126 ","$504,014,165 ",39.90%,"$759,506,961 ",60.10%
402,The Fate of the Furious,"$1,236,005,118 ","$226,008,385 ",18.30%,"$1,009,996,733 ",81.70%
403,Despicable Me 3,"$1,034,799,409 ","$264,624,300 ",25.60%,"$770,175,109 ",74.40%
404,Jumanji: Welcome to the Jungle,"$962,077,546 ","$404,515,480 ",42%,"$557,562,066 ",58%
405,Spider-Man: Homecoming,"$880,166,924 ","$334,201,140 ",38%,"$545,965,784 ",62%
406,Wolf Warrior 2,"$870,325,439 ","$2,721,100 ",0.30%,"$867,604,339 ",99.70%
407,Guardians of the Galaxy Vol. 2,"$863,756,051 ","$389,813,101 ",45.10%,"$473,942,950 ",54.90%
408,Thor: Ragnarok,"$853,977,126 ","$315,058,289 ",36.90%,"$538,918,837 ",63.10%
409,Wonder Woman,"$821,847,012 ","$412,563,408 ",50.20%,"$409,283,604 ",49.80%
410,Coco,"$807,082,196 ","$209,726,015 ",26%,"$597,356,181 ",74%
411,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,861,794 ","$172,558,876 ",21.70%,"$622,302,918 ",78.30%
412,It,"$700,381,748 ","$327,481,748 ",46.80%,"$372,900,000 ",53.20%
413,Justice League,"$657,924,295 ","$229,024,295 ",34.80%,"$428,900,000 ",65.20%
414,Logan,"$619,021,436 ","$226,277,068 ",36.60%,"$392,744,368 ",63.40%
415,Transformers: The Last Knight,"$605,425,157 ","$130,168,683 ",21.50%,"$475,256,474 ",78.50%
416,Kong: Skull Island,"$566,652,812 ","$168,052,812 ",29.70%,"$398,600,000 ",70.30%
417,The Boss Baby,"$527,965,936 ","$175,003,033 ",33.10%,"$352,962,903 ",66.90%
418,Dunkirk,"$525,245,546 ","$188,045,546 ",35.80%,"$337,200,000 ",64.20%
419,War for the Planet of the Apes,"$490,719,763 ","$146,880,162 ",29.90%,"$343,839,601 ",70.10%
420,The Greatest Showman,"$434,993,183 ","$174,340,174 ",40.10%,"$260,653,009 ",59.90%
421,Kingsman: The Golden Circle,"$410,902,662 ","$100,234,838 ",24.40%,"$310,667,824 ",75.60%
422,The Mummy,"$409,231,607 ","$80,227,895 ",19.60%,"$329,003,712 ",80.40%
423,Cars 3,"$383,930,656 ","$152,901,115 ",39.80%,"$231,029,541 ",60.20%
424,Fifty Shades Darker,"$381,545,846 ","$114,581,250 ",30%,"$266,964,596 ",70%
425,Murder on the Orient Express,"$352,789,811 ","$102,826,543 ",29.10%,"$249,963,268 ",70.90%
426,xXx: Return of Xander Cage,"$346,118,277 ","$44,898,413 ",13%,"$301,219,864 ",87%
427,The Lego Batman Movie,"$311,950,384 ","$175,750,384 ",56.30%,"$136,200,000 ",43.70%
428,The Ex-File 3: The Return of The Exes,"$307,592,427 ","$838,959 ",0.30%,"$306,753,468 ",99.70%
429,Annabelle: Creation,"$306,515,884 ","$102,092,201 ",33.30%,"$204,423,683 ",66.70%
430,Wonder,"$305,937,718 ","$132,422,809 ",43.30%,"$173,514,909 ",56.70%
431,Ferdinand,"$296,069,199 ","$84,410,380 ",28.50%,"$211,658,819 ",71.50%
432,Split,"$278,454,358 ","$138,291,365 ",49.70%,"$140,162,993 ",50.30%
433,Blade Runner 2049,"$259,239,658 ","$92,054,159 ",35.50%,"$167,185,499 ",64.50%
434,Get Out,"$255,407,969 ","$176,040,665 ",68.90%,"$79,367,304 ",31.10%
435,Kung Fu Yoga,"$254,212,245 ","$362,657 ",0.10%,"$253,849,588 ",99.90%
436,Baahubali 2: The Conclusion,"$254,158,390 ","$20,186,659 ",7.90%,"$233,971,731 ",92.10%
437,Journey to the West: The Demons Strike Back,"$246,620,398 ","$880,346 ",0.40%,"$245,740,052 ",99.60%
438,Alien: Covenant,"$240,891,763 ","$74,262,031 ",30.80%,"$166,629,732 ",69.20%
439,Paddington 2,"$227,331,938 ","$40,891,591 ",18%,"$186,440,347 ",82%
440,Youth,"$227,091,290 ","$1,891,956 ",0.80%,"$225,199,334 ",99.20%
441,Baby Driver,"$226,945,087 ","$107,825,862 ",47.50%,"$119,119,225 ",52.50%
442,Valerian and the City of a Thousand Planets,"$225,874,228 ","$41,189,488 ",18.20%,"$184,684,740 ",81.80%
443,Geostorm,"$221,600,160 ","$33,700,160 ",15.20%,"$187,900,000 ",84.80%
444,The Emoji Movie,"$217,776,646 ","$86,089,513 ",39.50%,"$131,687,133 ",60.50%
445,A Dog's Purpose,"$205,035,819 ","$64,508,620 ",31.50%,"$140,527,199 ",68.50%
446,Smurfs: The Lost Village,"$197,183,546 ","$45,020,282 ",22.80%,"$152,163,264 ",77.20%
447,The Shape of Water,"$195,243,464 ","$63,859,435 ",32.70%,"$131,384,029 ",67.30%
448,Pitch Perfect 3,"$185,400,345 ","$104,897,530 ",56.60%,"$80,502,815 ",43.40%
449,Daddy's Home 2,"$180,613,180 ","$104,029,443 ",57.60%,"$76,583,737 ",42.40%
450,The Post,"$179,769,457 ","$81,903,458 ",45.60%,"$97,865,999 ",54.40%
451,Baywatch,"$177,856,751 ","$58,060,186 ",32.60%,"$119,796,565 ",67.40%
452,The Hitman's Bodyguard,"$176,586,701 ","$75,468,583 ",42.70%,"$101,118,118 ",57.30%
453,John Wick: Chapter 2,"$171,539,887 ","$92,029,184 ",53.60%,"$79,510,703 ",46.40%
454,Ghost in the Shell,"$169,801,921 ","$40,563,557 ",23.90%,"$129,238,364 ",76.10%
455,"Three Billboards Outside Ebbing, Missouri","$159,210,164 ","$54,513,740 ",34.20%,"$104,696,424 ",65.80%
456,Duckweed,"$151,092,784 ","$471,575 ",0.30%,"$150,621,209 ",99.70%
457,Darkest Hour,"$150,847,207 ","$56,468,410 ",37.40%,"$94,378,797 ",62.60%
458,King Arthur: Legend of the Sword,"$148,675,066 ","$39,175,066 ",26.30%,"$109,500,000 ",73.70%
459,The Foreigner,"$145,374,099 ","$34,393,507 ",23.70%,"$110,980,592 ",76.30%
460,Power Rangers,"$142,337,240 ","$85,364,450 ",60%,"$56,972,790 ",40%
461,Girls Trip,"$140,552,359 ","$115,171,585 ",81.90%,"$25,380,774 ",18.10%
462,American Made,"$134,866,593 ","$51,342,000 ",38.10%,"$83,524,593 ",61.90%
463,A Bad Moms Christmas,"$130,560,428 ","$72,110,659 ",55.20%,"$58,449,769 ",44.80%
464,Happy Death Day,"$125,479,266 ","$55,683,845 ",44.40%,"$69,795,421 ",55.60%
465,Captain Underpants: The First Epic Movie,"$125,427,681 ","$73,921,000 ",58.90%,"$51,506,681 ",41.10%
466,The Lego Ninjago Movie,"$123,081,555 ","$59,281,555 ",48.20%,"$63,800,000 ",51.80%
467,Secret Superstar,"$121,956,937 ",-,-,"$121,956,937 ",100%
468,The Commuter,"$119,942,387 ","$36,343,858 ",30.30%,"$83,598,529 ",69.70%
469,The Dark Tower,"$113,231,078 ","$50,701,325 ",44.80%,"$62,529,753 ",55.20%
470,Buddies in India,"$109,593,721 ","$293,194 ",0.30%,"$109,300,527 ",99.70%
471,Along With the Gods: The Two Worlds,"$109,383,972 ","$1,908,823 ",1.70%,"$107,475,149 ",98.30%
472,Jigsaw,"$102,952,888 ","$38,052,832 ",37%,"$64,900,056 ",63%
473,Life,"$100,541,806 ","$30,234,022 ",30.10%,"$70,307,784 ",69.90%
474,Atomic Blonde,"$100,014,025 ","$51,687,870 ",51.70%,"$48,326,155 ",48.30%
475,The Shack,"$96,942,115 ","$57,386,418 ",59.20%,"$39,555,697 ",40.80%
476,Chasing the Dragon,"$87,965,942 ","$456,854 ",0.50%,"$87,509,088 ",99.50%
477,Tiger Zinda Hai,"$87,320,000 ","$5,560,921 ",6.40%,"$81,759,079 ",93.60%
478,Going in Style,"$84,918,541 ","$45,018,541 ",53%,"$39,900,000 ",47%
479,Rings,"$83,080,890 ","$27,793,018 ",33.50%,"$55,287,872 ",66.50%
480,Once Upon A Time,"$82,886,178 ","$485,728 ",0.60%,"$82,400,450 ",99.40%
481,A Taxi Driver,"$81,674,009 ","$1,527,829 ",1.90%,"$80,146,180 ",98.10%
482,Lady Bird,"$78,965,611 ","$48,958,273 ",62%,"$30,007,338 ",38%
483,American Assassin,"$67,234,188 ","$36,249,674 ",53.90%,"$30,984,514 ",46.10%
484,Victoria & Abdul,"$65,421,267 ","$22,245,070 ",34%,"$43,176,197 ",66%
485,The Nut Job 2: Nutty by Nature,"$65,146,020 ","$28,370,522 ",43.50%,"$36,775,498 ",56.50%
486,The Mountain Between Us,"$62,832,209 ","$30,348,555 ",48.30%,"$32,483,654 ",51.70%
487,The Star,"$62,812,974 ","$40,852,824 ",65%,"$21,960,150 ",35%
488,47 Meters Down,"$62,187,529 ","$44,307,191 ",71.20%,"$17,880,338 ",28.80%
489,How to Be a Latin Lover,"$61,881,372 ","$32,149,404 ",52%,"$29,731,968 ",48%
490,"Everything, Everything","$61,621,140 ","$34,121,140 ",55.40%,"$27,500,000 ",44.60%
491,Snatched,"$60,845,711 ","$45,852,178 ",75.40%,"$14,993,533 ",24.60%
492,My Little Pony: The Movie,"$60,330,833 ","$21,885,107 ",36.30%,"$38,445,726 ",63.70%
493,Molly's Game,"$59,284,015 ","$28,780,744 ",48.50%,"$30,503,271 ",51.50%
494,The Devotion of Suspect X,"$59,035,664 ","$686,435 ",1.20%,"$58,349,229 ",98.80%
495,Shock Wave,"$58,815,633 ",-,-,"$58,815,633 ",100%
496,Goldbuster,"$57,628,292 ","$186,135 ",0.30%,"$57,442,157 ",99.70%
497,All the Money in the World,"$56,996,304 ","$25,113,707 ",44.10%,"$31,882,597 ",55.90%
498,The Big Sick,"$56,411,585 ","$42,873,127 ",76%,"$13,538,458 ",24%
499,Confidential Assignment,"$55,972,241 ","$475,618 ",0.80%,"$55,496,623 ",99.20%
500,All Eyez on Me,"$55,668,698 ","$44,922,302 ",80.70%,"$10,746,396 ",19.30%
501,Downsizing,"$55,003,890 ","$24,449,754 ",44.50%,"$30,554,136 ",55.50%
502,"I, Tonya","$53,939,297 ","$30,014,539 ",55.60%,"$23,924,758 ",44.40%
503,Logan Lucky,"$48,453,605 ","$27,780,977 ",57.30%,"$20,672,628 ",42.70%
504,Boo 2! A Madea Halloween,"$48,333,932 ","$47,319,572 ",97.90%,"$1,014,360 ",2.10%
505,Phantom Thread,"$47,756,590 ","$21,198,205 ",44.40%,"$26,558,385 ",55.60%
506,Rough Night,"$47,347,283 ","$22,105,643 ",46.70%,"$25,241,640 ",53.30%
507,Son of Bigfoot,"$47,046,281 ","$289,308 ",0.60%,"$46,756,973 ",99.40%
508,The Thousand Faces of Dunjia,"$46,263,237 ","$124,187 ",0.30%,"$46,139,050 ",99.70%
509,The Battleship Island,"$46,141,474 ","$1,104,957 ",2.40%,"$45,036,517 ",97.60%
510,Flatliners,"$45,158,254 ","$16,883,115 ",37.40%,"$28,275,139 ",62.60%
511,Mother!,"$44,516,999 ","$17,800,004 ",40%,"$26,716,995 ",60%
512,Wind River,"$43,980,821 ","$33,800,859 ",76.90%,"$10,179,962 ",23.10%
513,Battle of Memories,"$43,892,362 ","$594,552 ",1.40%,"$43,297,810 ",98.60%
514,The Snowman,"$43,084,060 ","$6,700,035 ",15.60%,"$36,384,025 ",84.40%
515,Gifted,"$43,046,590 ","$24,801,212 ",57.60%,"$18,245,378 ",42.40%
516,Loving Vincent,"$42,187,665 ","$6,735,118 ",16%,"$35,452,547 ",84%
517,Mary and the Witch's Flower,"$41,978,431 ","$2,418,404 ",5.80%,"$39,560,027 ",94.20%
518,Call Me by Your Name,"$41,887,595 ","$18,095,701 ",43.20%,"$23,791,894 ",56.80%
519,T2 Trainspotting,"$41,681,746 ","$2,402,004 ",5.80%,"$39,279,742 ",94.20%
520,Fist Fight,"$41,087,017 ","$32,187,017 ",78.30%,"$8,900,000 ",21.70%
521,The Circle,"$40,656,399 ","$20,497,844 ",50.40%,"$20,158,555 ",49.60%
522,Diary of a Wimpy Kid: The Long Haul,"$40,140,972 ","$20,738,724 ",51.70%,"$19,402,248 ",48.30%
523,Brotherhood of Blades 2,"$39,966,092 ","$14,204 ",<0.1%,"$39,951,888 ",100%
524,Pokémon the Movie: I Choose You!,"$37,552,144 ","$2,401,722 ",6.40%,"$35,150,422 ",93.60%
525,Home Again,"$37,270,721 ","$27,020,284 ",72.50%,"$10,250,437 ",27.50%
526,The Adventurers,"$36,796,816 ","$216,556 ",0.60%,"$36,580,260 ",99.40%
527,Hostiles,"$35,669,017 ","$29,819,114 ",83.60%,"$5,849,903 ",16.40%
528,Namiya,"$35,342,550 ","$70,814 ",0.20%,"$35,271,736 ",99.80%
529,Kidnap,"$34,814,102 ","$30,971,040 ",89%,"$3,843,062 ",11%
530,The House,"$34,184,504 ","$25,584,504 ",74.80%,"$8,600,000 ",25.20%
531,Tad the Lost Explorer and the Secret of King Midas,"$34,156,960 ","$5,874 ",<0.1%,"$34,151,086 ",100%
532,I Want to Eat Your Pancreas,"$33,748,006 ","$277,019 ",0.80%,"$33,470,987 ",99.20%
533,Sleepless,"$32,917,353 ","$20,783,704 ",63.10%,"$12,133,649 ",36.90%
534,This Is Not What I Expected,"$30,996,615 ","$337,670 ",1.10%,"$30,658,945 ",98.90%
535,Reset 2017 Re-release,"$29,945,245 ","$108,970 ",0.40%,"$29,836,275 ",99.60%
536,The Disaster Artist,"$29,820,616 ","$21,120,616 ",70.80%,"$8,700,000 ",29.20%
537,The Swindlers,"$29,721,916 ","$241,916 ",0.80%,"$29,480,000 ",99.20%
538,The Fortress,"$28,645,448 ","$252,895 ",0.90%,"$28,392,553 ",99.10%
539,The Beguiled,"$27,397,655 ","$10,709,995 ",39.10%,"$16,687,660 ",60.90%
540,Twins 2,"$26,942,127 ","$1,431,255 ",5.30%,"$25,510,872 ",94.70%
541,CHIPS,"$26,800,152 ","$18,600,152 ",69.40%,"$8,200,000 ",30.60%
542,The Bye Bye Man,"$26,667,197 ","$22,395,806 ",84%,"$4,271,391 ",16%
543,A Cure for Wellness,"$26,620,002 ","$8,106,986 ",30.50%,"$18,513,016 ",69.50%
544,Monster Family,"$26,441,892 ","$127,259 ",0.50%,"$26,314,633 ",99.50%
545,The Zookeeper's Wife,"$26,127,965 ","$17,571,660 ",67.30%,"$8,556,305 ",32.70%
546,Only The Brave,"$25,754,775 ","$18,343,983 ",71.20%,"$7,410,792 ",28.80%
547,Fireworks,"$25,672,406 ","$525,280 ",2%,"$25,147,126 ",98%
548,Father Figures,"$25,601,244 ","$17,501,244 ",68.40%,"$8,100,000 ",31.60%
549,Badrinath Ki Dulhania,"$25,192,691 ","$1,993,259 ",7.90%,"$23,199,432 ",92.10%
550,The Death of Stalin,"$24,646,055 ","$8,047,856 ",32.70%,"$16,598,199 ",67.30%
551,I Can Speak,"$24,024,444 ","$63,239 ",0.30%,"$23,961,205 ",99.70%
552,Wish Upon,"$23,468,586 ","$14,301,505 ",60.90%,"$9,167,081 ",39.10%
553,Detroit,"$23,355,100 ","$16,790,139 ",71.90%,"$6,564,961 ",28.10%
554,Jolly LLB 2,"$22,974,019 ","$1,654,254 ",7.20%,"$21,319,765 ",92.80%
555,Extraordinary Mission,"$22,757,764 ","$54,174 ",0.20%,"$22,703,590 ",99.80%
556,Perfect Strangers,"$22,351,401 ","$1,014,507 ",4.50%,"$21,336,894 ",95.50%
557,The Glass Castle,"$22,088,533 ","$17,273,059 ",78.20%,"$4,815,474 ",21.80%
558,Leap! 2017 Re-release,"$21,929,861 ","$21,858,070 ",99.70%,"$71,791 ",0.30%
559,The Prison,"$21,205,329 ","$207,481 ",1%,"$20,997,848 ",99%
560,Sword Art Online The Movie: Ordinal Scale,"$20,725,409 ","$1,522,976 ",7.30%,"$19,202,433 ",92.70%
561,It Comes At Night,"$19,280,931 ","$13,985,117 ",72.50%,"$5,295,814 ",27.50%
562,The Lost City of Z,"$19,263,938 ","$8,580,410 ",44.50%,"$10,683,528 ",55.50%
563,Memoir of a Murderer,"$19,015,346 ","$91,335 ",0.50%,"$18,924,011 ",99.50%
564,Battle of the Sexes,"$18,598,607 ","$12,638,526 ",68%,"$5,960,081 ",32%
565,Fabricated City,"$18,307,490 ","$104,874 ",0.60%,"$18,202,616 ",99.40%
566,Unforgettable,"$17,768,012 ","$11,368,012 ",64%,"$6,400,000 ",36%
567,The Case for Christ,"$17,644,496 ","$14,682,684 ",83.20%,"$2,961,812 ",16.80%
