,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
40,The Intern,"$194,564,672 ","$75,764,672 ",38.90%,"$118,800,000 ",61.10%
41,Jupiter Ascending,"$183,887,723 ","$47,387,723 ",25.80%,"$136,500,000 ",74.20%
42,Creed,"$173,567,581 ","$109,767,581 ",63.20%,"$63,800,000 ",36.80%
43,Fantastic Four,"$167,882,881 ","$56,117,548 ",33.40%,"$111,765,333 ",66.60%
44,Bridge of Spies,"$165,478,348 ","$72,313,754 ",43.70%,"$93,164,594 ",56.30%
45,Focus,"$158,762,963 ","$53,862,963 ",33.90%,"$104,900,000 ",66.10%
46,Goosebumps,"$158,260,952 ","$80,080,379 ",50.60%,"$78,180,573 ",49.40%
47,Ip Man 3,"$156,844,753 ","$2,679,437 ",1.70%,"$154,165,316 ",98.30%
48,The Hateful Eight,"$155,760,117 ","$54,117,416 ",34.70%,"$101,642,701 ",65.30%
49,Gods of Egypt,"$150,680,864 ","$31,153,464 ",20.70%,"$119,527,400 ",79.30%
50,The Last Witch Hunter,"$146,936,910 ","$27,367,660 ",18.60%,"$119,569,250 ",81.40%
51,Trainwreck,"$140,795,793 ","$110,212,700 ",78.30%,"$30,583,093 ",21.70%
52,Mr. Six,"$139,191,345 ","$1,415,450 ",1%,"$137,775,895 ",99%
53,Point Break,"$133,718,711 ","$28,782,481 ",21.50%,"$104,936,230 ",78.50%
54,The Big Short,"$133,440,870 ","$70,259,870 ",52.70%,"$63,181,000 ",47.30%
55,Pan,"$128,388,320 ","$35,088,320 ",27.30%,"$93,300,000 ",72.70%
56,Detective Chinatown,"$125,842,935 ","$474,252 ",0.40%,"$125,368,683 ",99.60%
57,Wolf Totem,"$125,799,039 ","$210,591 ",0.20%,"$125,588,448 ",99.80%
58,Ride Along 2,"$124,605,297 ","$91,221,830 ",73.20%,"$33,383,467 ",26.80%
59,Dragon Blade,"$121,545,703 ","$74,068 ",<0.1%,"$121,471,635 ",99.90%
60,Magic Mike XXL,"$117,813,057 ","$66,013,057 ",56%,"$51,800,000 ",44%
61,Insidious: Chapter 3,"$112,983,889 ","$52,218,558 ",46.20%,"$60,765,331 ",53.80%
62,Get Hard,"$111,711,453 ","$90,411,453 ",80.90%,"$21,300,000 ",19.10%
63,The 5th Wave,"$109,906,372 ","$34,916,787 ",31.80%,"$74,989,585 ",68.20%
64,Paul Blart: Mall Cop 2,"$107,588,225 ","$71,038,190 ",66%,"$36,550,035 ",34%
65,The Man from U.N.C.L.E.,"$107,045,109 ","$45,445,109 ",42.50%,"$61,600,000 ",57.50%
66,Shaun the Sheep Movie,"$106,209,378 ","$19,375,982 ",18.20%,"$86,833,396 ",81.80%
67,Sisters,"$105,011,053 ","$87,044,645 ",82.90%,"$17,966,408 ",17.10%
68,Vacation,"$104,884,188 ","$58,884,188 ",56.10%,"$46,000,000 ",43.90%
69,Chappie,"$102,069,268 ","$31,569,268 ",30.90%,"$70,500,000 ",69.10%
70,Joy,"$101,134,059 ","$56,451,232 ",55.80%,"$44,682,827 ",44.20%
71,Black Mass,"$99,775,678 ","$62,575,678 ",62.70%,"$37,200,000 ",37.30%
72,Devil and Angel,"$98,599,942 ","$131,058 ",0.10%,"$98,468,884 ",99.90%
73,The Visit,"$98,450,062 ","$65,206,105 ",66.20%,"$33,243,957 ",33.80%
74,Spotlight,"$98,275,238 ","$45,055,776 ",45.80%,"$53,219,462 ",54.20%
75,The Little Prince,"$97,571,250 ","$1,339,152 ",1.40%,"$96,232,098 ",98.60%
76,Assassination,"$96,119,773 ","$1,904,682 ",2%,"$94,215,091 ",98%
77,Poltergeist,"$95,437,994 ","$47,425,125 ",49.70%,"$48,012,869 ",50.30%
78,Veteran,"$94,393,020 ","$1,200,627 ",1.30%,"$93,192,393 ",98.70%
79,In the Heart of the Sea,"$93,920,758 ","$25,020,758 ",26.60%,"$68,900,000 ",73.40%
80,Kill Zone 2,"$93,638,358 ","$11,998 ",<0.1%,"$93,626,360 ",100%
81,Southpaw,"$91,970,827 ","$52,421,953 ",57%,"$39,548,874 ",43%
82,The Second Best Exotic Marigold Hotel,"$85,978,266 ","$33,078,266 ",38.50%,"$52,900,000 ",61.50%
83,Paper Towns,"$85,512,300 ","$32,000,304 ",37.40%,"$53,511,996 ",62.60%
84,Sicario,"$84,872,444 ","$46,889,293 ",55.20%,"$37,983,151 ",44.80%
85,Hitman: Agent 47,"$82,347,656 ","$22,467,450 ",27.30%,"$59,880,206 ",72.70%
86,The Wedding Ringer,"$79,799,880 ","$64,460,211 ",80.80%,"$15,339,669 ",19.20%
87,Paranormal Activity: The Ghost Dimension,"$78,903,124 ","$18,300,124 ",23.20%,"$60,603,000 ",76.80%
88,Bajrangi Bhaijaan,"$75,547,184 ","$8,178,001 ",10.80%,"$67,369,183 ",89.20%
89,War Room,"$73,256,266 ","$67,790,117 ",92.50%,"$5,466,149 ",7.50%
90,The Transporter Refueled,"$72,629,670 ","$16,029,670 ",22.10%,"$56,600,000 ",77.90%
91,Run All Night,"$71,561,644 ","$26,461,644 ",37%,"$45,100,000 ",63%
92,13 Hours,"$69,411,370 ","$52,853,219 ",76.10%,"$16,558,151 ",23.90%
93,Running Man,"$68,782,475 ","$310,978 ",0.50%,"$68,471,497 ",99.50%
94,The Age of Adaline,"$65,663,276 ","$42,629,776 ",64.90%,"$23,033,500 ",35.10%
95,Zhongkui: Snow Girl and the Dark Crystal,"$64,325,947 ","$165,428 ",0.30%,"$64,160,519 ",99.70%
96,The Danish Girl,"$64,191,523 ","$11,114,018 ",17.30%,"$53,077,505 ",82.70%
97,The Boy,"$64,188,367 ","$35,819,556 ",55.80%,"$28,368,811 ",44.20%
98,The Longest Ride,"$62,944,815 ","$37,446,117 ",59.50%,"$25,498,698 ",40.50%
99,Unfriended,"$62,882,090 ","$32,482,090 ",51.70%,"$30,400,000 ",48.30%
100,Brooklyn,"$62,076,141 ","$38,322,743 ",61.70%,"$23,753,398 ",38.30%
101,"Dragon Ball Z: Resurrection ""F""","$61,768,190 ","$8,008,363 ",13%,"$53,759,827 ",87%
102,Woman in Gold,"$61,619,773 ","$33,307,793 ",54.10%,"$28,311,980 ",45.90%
103,Krampus,"$61,548,707 ","$42,725,475 ",69.40%,"$18,823,232 ",30.60%
104,The Perfect Guy,"$60,273,173 ","$57,027,435 ",94.60%,"$3,245,738 ",5.40%
105,Forever Young,"$59,981,902 ","$149,761 ",0.20%,"$59,832,141 ",99.80%
106,Miss Granny,"$59,396,311 ","$234,573 ",0.40%,"$59,161,738 ",99.60%
107,The Gift,"$58,978,653 ","$43,787,265 ",74.20%,"$15,191,388 ",25.80%
108,No Escape,"$54,418,872 ","$27,288,872 ",50.10%,"$27,130,000 ",49.90%
109,Sinister 2,"$52,882,018 ","$27,740,955 ",52.50%,"$25,141,063 ",47.50%
110,Prem Ratan Dhan Payo,"$52,556,824 ","$4,364,639 ",8.30%,"$48,192,185 ",91.70%
111,The Boy Next Door,"$52,425,855 ","$35,423,380 ",67.60%,"$17,002,475 ",32.40%
112,The Night Before,"$52,395,996 ","$43,047,372 ",82.20%,"$9,348,624 ",17.80%
113,Hot Pursuit,"$51,380,201 ","$34,580,201 ",67.30%,"$16,800,000 ",32.70%
114,The Himalayas,"$50,539,997 ","$696,717 ",1.40%,"$49,843,280 ",98.60%
115,The Boy and the Beast,"$49,714,378 ","$490,643 ",1%,"$49,223,735 ",99%
116,Surprise,"$49,567,466 ",-,-,"$49,567,466 ",100%
117,Entourage,"$49,263,404 ","$32,363,404 ",65.70%,"$16,900,000 ",34.30%
118,The Woman in Black 2: Angel of Death,"$48,854,305 ","$26,501,323 ",54.20%,"$22,352,982 ",45.80%
119,Concussion,"$48,623,572 ","$34,542,474 ",71%,"$14,081,098 ",29%
120,Mortdecai,"$47,275,695 ","$7,696,134 ",16.30%,"$39,579,561 ",83.70%
121,Let's Get Married,"$45,972,724 ","$462,918 ",1%,"$45,509,806 ",99%
122,Somewhere Only We Know,"$45,737,711 ","$482,341 ",1.10%,"$45,255,370 ",98.90%
