Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
113,Captain America: The Winter Soldier,"$714,421,503 ","$259,766,572 ",36.40%,"$454,654,931 ",63.60%,2014
114,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856 ","$281,287,133 ",39.50%,"$430,918,723 ",60.50%,2011
115,The Twilight Saga: New Moon,"$711,020,081 ","$297,816,253 ",41.90%,"$413,203,828 ",58.10%,2009
116,Dawn of the Planet of the Apes,"$710,644,566 ","$208,545,589 ",29.40%,"$502,098,977 ",70.60%,2014
117,Transformers,"$709,709,780 ","$319,246,193 ",45%,"$390,463,587 ",55%,2007
118,The Amazing Spider-Man 2,"$708,982,323 ","$202,853,933 ",28.60%,"$506,128,390 ",71.40%,2014
119,Ne Zha zhi mo tong jiang shi,"$700,547,754 ","$3,695,533 ",0.50%,"$696,852,221 ",99.50%,2019
120,It,"$700,449,318 ","$327,481,748 ",46.80%,"$372,967,570 ",53.20%,2017
121,Liu lang di qiu,"$699,760,773 ","$5,875,487 ",0.80%,"$693,885,286 ",99.20%,2019
122,The Twilight Saga: Eclipse,"$698,491,347 ","$300,531,751 ",43%,"$397,959,596 ",57%,2010
123,Mission: Impossible - Ghost Protocol,"$694,713,380 ","$209,397,903 ",30.10%,"$485,315,477 ",69.90%,2011
124,The Hunger Games,"$694,394,724 ","$408,010,692 ",58.80%,"$286,384,032 ",41.20%,2012
125,Moana,"$690,845,539 ","$248,757,044 ",36%,"$442,088,495 ",64%,2016
126,Mission: Impossible - Rogue Nation,"$682,714,267 ","$195,042,377 ",28.60%,"$487,671,890 ",71.40%,2015
127,Forrest Gump,"$678,151,134 ","$330,455,270 ",48.70%,"$347,695,864 ",51.30%,1994
128,Doctor Strange,"$677,718,395 ","$232,641,920 ",34.30%,"$445,076,475 ",65.70%,2016
129,Interstellar,"$677,471,339 ","$188,020,017 ",27.80%,"$489,451,322 ",72.20%,2014
130,The Sixth Sense,"$672,806,292 ","$293,506,292 ",43.60%,"$379,300,000 ",56.40%,1999
131,Man of Steel,"$668,045,518 ","$291,045,518 ",43.60%,"$377,000,000 ",56.40%,2013
132,Ice Age: The Meltdown,"$667,036,530 ","$195,330,621 ",29.30%,"$471,705,909 ",70.70%,2006
133,Kung Fu Panda 2,"$665,692,281 ","$165,249,063 ",24.80%,"$500,443,218 ",75.20%,2011
134,Justice League,"$657,924,295 ","$229,024,295 ",34.80%,"$428,900,000 ",65.20%,2017
135,Big Hero 6,"$657,827,828 ","$222,527,828 ",33.80%,"$435,300,000 ",66.20%,2014
136,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015 ","$305,413,918 ",46.70%,"$348,850,097 ",53.30%,2003
137,Fantastic Beasts: The Crimes of Grindelwald,"$653,755,901 ","$159,555,901 ",24.40%,"$494,200,000 ",75.60%,2018
138,The Hunger Games: Mockingjay - Part 2,"$653,428,261 ","$281,723,902 ",43.10%,"$371,704,359 ",56.90%,2015
139,Star Wars: Episode II - Attack of the Clones,"$649,436,358 ","$310,676,740 ",47.80%,"$338,759,618 ",52.20%,2002
140,Thor: The Dark World,"$644,783,140 ","$206,362,140 ",32%,"$438,421,000 ",68%,2013
141,Sing,"$634,151,679 ","$270,395,425 ",42.60%,"$363,756,254 ",57.40%,2016
142,"Monsters, Inc.","$632,316,649 ","$289,916,256 ",45.80%,"$342,400,393 ",54.20%,2001
143,Kung Fu Panda,"$631,746,197 ","$215,434,591 ",34.10%,"$416,311,606 ",65.90%,2008
144,The Incredibles,"$631,606,713 ","$261,441,092 ",41.40%,"$370,165,621 ",58.60%,2004
145,The Martian,"$630,161,890 ","$228,433,663 ",36.20%,"$401,728,227 ",63.80%,2015
146,Fast Five,"$626,137,675 ","$209,837,675 ",33.50%,"$416,300,000 ",66.50%,2011
147,Hancock,"$624,386,771 ","$227,946,274 ",36.50%,"$396,440,497 ",63.50%,2008
148,Men in Black 3,"$624,026,776 ","$179,020,854 ",28.70%,"$445,005,922 ",71.30%,2012
149,Iron Man 2,"$623,933,331 ","$312,433,331 ",50.10%,"$311,500,000 ",49.90%,2010
150,Ratatouille,"$623,722,818 ","$206,445,654 ",33.10%,"$417,277,164 ",66.90%,2007
151,Ant-Man and the Wasp,"$622,674,139 ","$216,648,740 ",34.80%,"$406,025,399 ",65.20%,2018
152,How to Train Your Dragon 2,"$621,537,519 ","$177,002,924 ",28.50%,"$444,534,595 ",71.50%,2014
153,Logan,"$619,021,436 ","$226,277,068 ",36.60%,"$392,744,368 ",63.40%,2017
154,The Lost World: Jurassic Park,"$618,638,999 ","$229,086,679 ",37%,"$389,552,320 ",63%,1997
155,The Passion of the Christ,"$610,061,517 ","$370,782,930 ",60.80%,"$239,278,587 ",39.20%,2004
156,Mamma Mia!,"$609,896,805 ","$144,169,664 ",23.60%,"$465,727,141 ",76.40%,2008
157,Casino Royale,"$609,447,995 ","$167,445,960 ",27.50%,"$442,002,035 ",72.50%,2006
158,Life of Pi,"$609,016,565 ","$124,987,023 ",20.50%,"$484,029,542 ",79.50%,2012
159,Transformers: The Last Knight,"$605,425,157 ","$130,168,683 ",21.50%,"$475,256,474 ",78.50%,2017
160,Madagascar: Escape 2 Africa,"$603,900,354 ","$180,010,950 ",29.80%,"$423,889,404 ",70.20%,2008
161,Tangled,"$591,794,936 ","$200,821,936 ",33.90%,"$390,973,000 ",66.10%,2010
162,War of the Worlds,"$591,745,532 ","$234,280,354 ",39.60%,"$357,465,178 ",60.40%,2005
163,Men in Black,"$589,390,539 ","$250,690,539 ",42.50%,"$338,700,000 ",57.50%,1997
164,The Croods,"$587,204,668 ","$187,168,425 ",31.90%,"$400,036,243 ",68.10%,2013
165,The Hangover Part II,"$586,764,305 ","$254,464,305 ",43.40%,"$332,300,000 ",56.60%,2011
166,Quantum of Solace,"$586,090,727 ","$168,368,427 ",28.70%,"$417,722,300 ",71.30%,2008
167,Iron Man,"$585,366,247 ","$318,604,126 ",54.40%,"$266,762,121 ",45.60%,2008
168,I Am Legend,"$585,349,010 ","$256,393,010 ",43.80%,"$328,956,000 ",56.20%,2007
169,Ready Player One,"$582,890,172 ","$137,690,172 ",23.60%,"$445,200,000 ",76.40%,2018
170,Hong hai xing dong,"$579,220,560 ","$1,543,547 ",0.30%,"$577,677,013 ",99.70%,2018
171,Night at the Museum,"$574,480,841 ","$250,863,268 ",43.70%,"$323,617,573 ",56.30%,2006
172,Fifty Shades of Grey,"$569,651,467 ","$166,167,230 ",29.20%,"$403,484,237 ",70.80%,2015
173,Kong: Skull Island,"$566,652,812 ","$168,052,812 ",29.70%,"$398,600,000 ",70.30%,2017
174,The Smurfs,"$563,749,323 ","$142,614,158 ",25.30%,"$421,135,165 ",74.70%,2011
175,Cars 2,"$559,852,396 ","$191,452,396 ",34.20%,"$368,400,000 ",65.80%,2011
176,Puss in Boots,"$554,987,477 ","$149,260,504 ",26.90%,"$405,726,973 ",73.10%,2011
177,Mei ren yu,"$553,810,228 ","$3,232,685 ",0.60%,"$550,577,543 ",99.40%,2016
178,Armageddon,"$553,709,788 ","$201,578,182 ",36.40%,"$352,131,606 ",63.60%,1998
179,King Kong,"$550,517,357 ","$218,080,025 ",39.60%,"$332,437,332 ",60.40%,2005
180,Ted,"$549,368,315 ","$218,815,487 ",39.80%,"$330,552,828 ",60.20%,2012
181,Star Wars: Episode V - The Empire Strikes Back,"$547,879,454 ","$290,271,960 ",53%,"$257,607,494 ",47%,1980
182,American Sniper,"$547,426,372 ","$350,126,372 ",64%,"$197,300,000 ",36%,2014
183,Mission: Impossible II,"$546,388,105 ","$215,409,889 ",39.40%,"$330,978,216 ",60.60%,2000
