Rank,Release Group,Worldwide,Domestic,%,Foreign,%
43,Valerian and the City of a Thousand Planets,"$225,874,228 ","$41,189,488 ",18.20%,"$184,684,740 ",81.80%
44,Geostorm,"$221,600,160 ","$33,700,160 ",15.20%,"$187,900,000 ",84.80%
45,The Emoji Movie,"$217,776,646 ","$86,089,513 ",39.50%,"$131,687,133 ",60.50%
46,A Dog's Purpose,"$205,035,819 ","$64,508,620 ",31.50%,"$140,527,199 ",68.50%
47,Smurfs: The Lost Village,"$197,183,546 ","$45,020,282 ",22.80%,"$152,163,264 ",77.20%
48,The Shape of Water,"$195,243,464 ","$63,859,435 ",32.70%,"$131,384,029 ",67.30%
49,Pitch Perfect 3,"$185,400,345 ","$104,897,530 ",56.60%,"$80,502,815 ",43.40%
50,Daddy's Home 2,"$180,613,180 ","$104,029,443 ",57.60%,"$76,583,737 ",42.40%
51,The Post,"$179,769,457 ","$81,903,458 ",45.60%,"$97,865,999 ",54.40%
52,Baywatch,"$177,856,751 ","$58,060,186 ",32.60%,"$119,796,565 ",67.40%
53,The Hitman's Bodyguard,"$176,586,701 ","$75,468,583 ",42.70%,"$101,118,118 ",57.30%
54,John Wick: Chapter 2,"$171,539,887 ","$92,029,184 ",53.60%,"$79,510,703 ",46.40%
55,Ghost in the Shell,"$169,801,921 ","$40,563,557 ",23.90%,"$129,238,364 ",76.10%
56,"Three Billboards Outside Ebbing, Missouri","$159,210,164 ","$54,513,740 ",34.20%,"$104,696,424 ",65.80%
57,Duckweed,"$151,092,784 ","$471,575 ",0.30%,"$150,621,209 ",99.70%
58,Darkest Hour,"$150,847,207 ","$56,468,410 ",37.40%,"$94,378,797 ",62.60%
59,King Arthur: Legend of the Sword,"$148,675,066 ","$39,175,066 ",26.30%,"$109,500,000 ",73.70%
60,The Foreigner,"$145,374,099 ","$34,393,507 ",23.70%,"$110,980,592 ",76.30%
61,Power Rangers,"$142,337,240 ","$85,364,450 ",60%,"$56,972,790 ",40%
62,Girls Trip,"$140,552,359 ","$115,171,585 ",81.90%,"$25,380,774 ",18.10%
63,American Made,"$134,866,593 ","$51,342,000 ",38.10%,"$83,524,593 ",61.90%
64,A Bad Moms Christmas,"$130,560,428 ","$72,110,659 ",55.20%,"$58,449,769 ",44.80%
65,Happy Death Day,"$125,479,266 ","$55,683,845 ",44.40%,"$69,795,421 ",55.60%
