Rank,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
27,Dark Phoenix,"$252,442,974 ","$65,845,974 ",26.10%,"$186,597,000 ",73.90%
28,Terminator: Dark Fate,"$250,463,963 ","$61,244,526 ",24.50%,"$189,219,437 ",75.50%
29,Glass,"$246,985,576 ","$111,035,005 ",45%,"$135,950,571 ",55%
30,The Bravest,"$238,007,250 ","$290,217 ",0.10%,"$237,717,033 ",99.90%
31,Annabelle Comes Home,"$228,552,591 ","$74,152,591 ",32.40%,"$154,400,000 ",67.60%
32,Better Days,"$220,675,137 ","$1,910,184 ",0.90%,"$218,764,953 ",99.10%
33,Rocketman,"$195,179,299 ","$96,368,160 ",49.40%,"$98,811,139 ",50.60%
34,The Lego Movie 2: The Second Part,"$191,306,508 ","$105,806,508 ",55.30%,"$85,500,000 ",44.70%
35,The White Storm 2: Drug Lords,"$188,092,373 ","$609,461 ",0.30%,"$187,482,912 ",99.70%
36,Downton Abbey,"$185,902,960 ","$96,702,960 ",52%,"$89,200,000 ",48%
37,The Addams Family,"$179,916,048 ","$96,416,048 ",53.60%,"$83,500,000 ",46.40%
38,Abominable,"$175,485,270 ","$60,185,270 ",34.30%,"$115,300,000 ",65.70%
39,Gemini Man,"$172,568,418 ","$48,530,720 ",28.10%,"$124,037,698 ",71.90%
40,Escape Room,"$155,712,077 ","$57,005,601 ",36.60%,"$98,706,476 ",63.40%
41,The Climbers,"$154,262,846 ","$487,157 ",0.30%,"$153,775,689 ",99.70%
42,Yesterday,"$151,286,650 ","$73,286,650 ",48.40%,"$78,000,000 ",51.60%
43,Hustlers,"$150,517,444 ","$104,917,444 ",69.70%,"$45,600,000 ",30.30%
44,The Angry Birds Movie 2,"$146,583,749 ","$41,657,076 ",28.40%,"$104,926,673 ",71.60%
45,Ford v Ferrari,"$144,532,846 ","$81,780,519 ",56.60%,"$62,752,327 ",43.40%
46,Angel Has Fallen,"$133,365,452 ","$69,030,436 ",51.80%,"$64,335,016 ",48.20%
47,Ad Astra,"$127,158,591 ","$50,171,039 ",39.50%,"$76,987,552 ",60.50%
48,The Upside,"$125,852,517 ","$108,252,517 ",86%,"$17,600,000 ",14%
49,Looking Up,"$122,994,583 ","$84,267 ",<0.1%,"$122,910,316 ",99.90%
50,The Curse of La Llorona,"$122,133,739 ","$54,733,739 ",44.80%,"$67,400,000 ",55.20%
51,Extreme Job,"$119,932,733 ","$1,565,885 ",1.30%,"$118,366,848 ",98.70%
52,Wonder Park,"$119,559,110 ","$45,216,793 ",37.80%,"$74,342,317 ",62.20%
53,Dora and the Lost City of Gold,"$118,914,774 ","$60,477,943 ",50.90%,"$58,436,831 ",49.10%
54,P Storm,"$117,991,727 ","$326,711 ",0.30%,"$117,665,016 ",99.70%
55,Zombieland: Double Tap,"$117,744,336 ","$72,244,336 ",61.40%,"$45,500,000 ",38.60%
56,Parasite,"$117,247,124 ","$18,350,215 ",15.70%,"$98,896,909 ",84.30%
57,Pet Sematary,"$112,399,944 ","$54,724,696 ",48.70%,"$57,675,248 ",51.30%
58,Good Boys,"$110,883,070 ","$83,083,070 ",74.90%,"$27,800,000 ",25.10%
59,Scary Stories to Tell in the Dark,"$104,545,505 ","$68,947,075 ",65.90%,"$35,598,430 ",34.10%
60,Midway,"$104,104,788 ","$50,478,116 ",48.50%,"$53,626,672 ",51.50%
61,Line Walker 2: Invisible Spy,"$99,482,027 ","$296,751 ",0.30%,"$99,185,276 ",99.70%
62,The Hustle,"$95,017,038 ","$35,417,038 ",37.30%,"$59,600,000 ",62.70%
63,Five Feet Apart,"$91,522,071 ","$45,729,221 ",50%,"$45,792,850 ",50%
