Rank,Title,Worldwide,Domestic,% Domestic,Foreign,% Foreign
296,Bethany Hamilton: Unstoppable,"$590,671 ","$590,671 ",100%,-,-
297,Waves,"$576,174 ","$576,174 ",100%,-,-
298,My Fair Lady 2019 Re-release,"$560,711 ","$560,711 ",100%,-,-
299,Synonyms,"$553,324 ","$151,074 ",27.30%,"$402,250 ",72.70%
300,Photograph,"$550,508 ","$344,534 ",62.60%,"$205,974 ",37.40%
301,Fiddler: A Miracle of Miracles,"$549,386 ","$549,386 ",100%,-,-
302,"DCI 2019: Big, Loud & Live 16","$546,060 ","$546,060 ",100%,-,-
303,Junglee,"$545,887 ","$295,784 ",54.20%,"$250,103 ",45.80%
304,Grateful Dead Meet-Up 2019,"$537,153 ","$537,153 ",100%,-,-
305,CatVideoFest,"$536,566 ","$470,923 ",87.80%,"$65,643 ",12.20%
306,Margaret Atwood: Live in Cinemas,"$529,285 ","$93,690 ",17.70%,"$435,595 ",82.30%
307,The Audience 2019 Re-release,"$523,432 ","$106,529 ",20.40%,"$416,903 ",79.60%
308,The Spy Behind Home Plate,"$519,525 ","$519,525 ",100%,-,-
309,Wild Nights with Emily,"$519,487 ","$519,487 ",100%,-,-
310,The Day Shall Come,"$514,073 ","$26,972 ",5.20%,"$487,101 ",94.80%
311,Bolshoi Ballet: Carmen Suite/Petrushka,"$510,628 ","$207,523 ",40.60%,"$303,105 ",59.40%
312,Saving Private Ryan 2019 Re-release,"$508,694 ","$508,694 ",100%,-,-
313,Whisper of the Heart 2019 Re-release,"$498,156 ","$498,156 ",100%,-,-
314,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770 ","$495,770 ",100%,-,-
315,The Russian Five,"$485,049 ","$485,049 ",100%,-,-
316,Lawrence of Arabia 2019 Re-release,"$482,281 ","$482,281 ",100%,-,-
317,Liam Gallagher: As It Was,"$477,009 ",-,-,"$477,009 ",100%
318,Monty Python's Life of Brian 2019 Re-release,"$470,071 ","$161,507 ",34.40%,"$308,564 ",65.60%
319,Hail Satan?,"$467,232 ","$424,284 ",90.80%,"$42,948 ",9.20%
320,Light of My Life,"$463,859 ","$20,056 ",4.30%,"$443,803 ",95.70%
321,Christmas Jars,"$459,462 ","$459,462 ",100%,-,-
322,Cruel Intentions 2019 Re-release,"$445,218 ","$445,218 ",100%,-,-
323,What We Left Behind: Star Trek DS9,"$434,437 ","$382,457 ",88%,"$51,980 ",12%
324,Ben-Hur 2019 Re-release,"$422,622 ","$422,622 ",100%,-,-
325,The Cold Blue,"$420,177 ","$420,177 ",100%,-,-
326,The Reliant,"$408,747 ","$408,747 ",100%,-,-
327,Aquarela,"$405,050 ","$300,509 ",74.20%,"$104,541 ",25.80%
328,"Hello, Dolly!","$400,881 ","$400,881 ",100%,-,-
329,The Wedding Guest,"$386,166 ","$386,166 ",100%,-,-
330,The Secret World of Arrietty 2019 Re-release,"$384,289 ","$384,289 ",100%,-,-
331,The Metropolitan Opera HD Live: Puccini: Turandot,"$375,295 ",-,-,"$375,295 ",100%
332,Ghostbusters 2019 Re-release,"$369,612 ","$369,612 ",100%,-,-
333,Lords of Chaos,"$365,353 ","$253,184 ",69.30%,"$112,169 ",30.70%
334,K-12,"$359,377 ","$303,230 ",84.40%,"$56,147 ",15.60%
335,The Shawshank Redemption 2019 Re-release,"$358,507 ","$358,507 ",100%,-,-
336,Killerman,"$358,352 ","$291,477 ",81.30%,"$66,875 ",18.70%
337,The Tomorrow Man,"$354,103 ","$354,103 ",100%,-,-
338,Star Trek: The Motion Picture 2019 Re-release,"$346,243 ","$346,243 ",100%,-,-
339,Triple Threat,"$345,900 ","$76,289 ",22.10%,"$269,611 ",77.90%
340,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632 ","$271,489 ",80.20%,"$67,143 ",19.80%
341,Diane,"$336,166 ","$336,166 ",100%,-,-
342,A Silent Voice: The Movie 2019 Re-release,"$333,984 ","$333,984 ",100%,-,-
343,Freaks,"$333,212 ","$276,591 ",83%,"$56,621 ",17%
344,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979 ","$328,979 ",100%,-,-
345,Sword of Trust,"$322,421 ","$322,421 ",100%,-,-
346,Woodstock,"$320,610 ","$126,562 ",39.50%,"$194,048 ",60.50%
347,Lucy in the Sky,"$319,976 ","$319,976 ",100%,-,-
348,You Are Here: A Come From Away Story,"$318,885 ","$318,885 ",100%,-,-
349,Josh Groban Bridges from Madison Square Garden,"$315,173 ","$315,173 ",100%,-,-
350,Ask Dr. Ruth,"$314,938 ","$297,195 ",94.40%,"$17,743 ",5.60%
351,Bolshoi Ballet: The Sleeping Beauty,"$311,368 ","$311,368 ",100%,-,-
352,Anthropocene: The Human Epoch,"$303,904 ","$104,649 ",34.40%,"$199,255 ",65.60%
353,The Third Wife,"$302,159 ","$84,933 ",28.10%,"$217,226 ",71.90%
354,Meeting Gorbachev,"$301,937 ","$251,837 ",83.40%,"$50,100 ",16.60%
355,Cliffs of Freedom,"$300,842 ","$72,476 ",24.10%,"$228,366 ",75.90%
356,Plácido Domingo Gala,"$299,360 ","$52,502 ",17.50%,"$246,858 ",82.50%
357,Shakira in Concert: El Dorado World Tour,"$294,677 ","$271,586 ",92.20%,"$23,091 ",7.80%
358,The Giant Spider Invasion,"$293,053 ","$293,053 ",100%,-,-
359,The Zoya Factor,"$289,631 ","$128,831 ",44.50%,"$160,800 ",55.50%
360,Saga of Tanya the Evil - The Movie,"$288,460 ","$288,460 ",100%,-,-
361,Khalid: Free Spirit,"$284,229 ","$284,229 ",100%,-,-
362,Mike Wallace Is Here,"$281,245 ","$281,245 ",100%,-,-
363,Octaman,"$280,710 ","$280,710 ",100%,-,-
364,See You Soon,"$277,126 ",-,-,"$277,126 ",100%
365,True Grit 2019 Re-release,"$276,418 ","$276,418 ",100%,-,-
366,Slayer: The Repentless Killogy,"$272,874 ","$268,727 ",98.50%,"$4,147 ",1.50%
367,One Child Nation,"$271,841 ","$270,128 ",99.40%,"$1,713 ",0.60%
368,Luzia: Cirque du Soleil in Cinema,"$265,673 ","$265,673 ",100%,-,-
369,Out of Liberty,"$265,279 ","$265,279 ",100%,-,-
370,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983 ","$167,684 ",63.30%,"$97,299 ",36.70%
371,Her Smell,"$260,481 ","$255,599 ",98.10%,"$4,882 ",1.90%
372,Star Raiders: The Adventures of Saber Raine,"$260,234 ","$260,234 ",100%,-,-
373,I Got the Hook Up 2,"$252,293 ","$252,293 ",100%,-,-
374,Canal Street,"$251,917 ","$251,917 ",100%,-,-
375,The Twilight Zone: A 60th Anniversary Celebration,"$248,514 ","$248,514 ",100%,-,-
376,Doctor Who: The End of Time: Part One,"$247,798 ","$247,798 ",100%,-,-
377,American Woman,"$245,416 ","$236,637 ",96.40%,"$8,779 ",3.60%
378,Out of Blue,"$242,847 ","$18,779 ",7.70%,"$224,068 ",92.30%
379,311 Enlarged to Show Detail 3,"$238,791 ","$238,791 ",100%,-,-
380,India's Most Wanted,"$235,351 ","$176,858 ",75.10%,"$58,493 ",24.90%
381,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973 ","$232,973 ",100%,-,-
382,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703 ","$230,703 ",100%,-,-
383,Ophelia,"$229,405 ","$50,722 ",22.10%,"$178,683 ",77.90%
384,Mine 9,"$226,421 ","$226,421 ",100%,-,-
385,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858 ","$223,858 ",100%,-,-
386,First Love,"$218,329 ","$218,329 ",100%,-,-
387,The Karate Kid 2019 Re-release,"$215,447 ","$215,447 ",100%,-,-
388,Hamlet 2019 Re-release,"$214,578 ","$214,578 ",100%,-,-
389,Tigers Are Not Afraid 2019 Re-release,"$210,138 ","$175,559 ",83.50%,"$34,579 ",16.50%
390,"Faith, Hope & Love","$210,091 ","$210,091 ",100%,-,-
391,Kathy Griffin: A Hell of a Story,"$208,907 ","$208,907 ",100%,-,-
392,Batman 2019 Re-release,"$207,901 ","$159,419 ",76.70%,"$48,482 ",23.30%
393,Millennium Actress 2019 Re-release,"$207,312 ","$207,312 ",100%,-,-
394,The Iron Orchard,"$204,881 ","$204,881 ",100%,-,-
395,Hesburgh,"$204,709 ","$204,709 ",100%,-,-
396,Play the Flute,"$203,956 ","$203,956 ",100%,-,-
397,Forrest Gump 2019 Re-release,"$203,088 ","$203,088 ",100%,-,-
398,Blink of an Eye,"$201,874 ","$201,874 ",100%,-,-
399,Family,"$194,601 ","$194,601 ",100%,-,-
400,The Divine Plan,"$190,031 ","$190,031 ",100%,-,-
401,Working Woman,"$185,912 ","$64,048 ",34.50%,"$121,864 ",65.50%
402,To Dust,"$184,495 ","$184,495 ",100%,-,-
403,The River and the Wall,"$183,602 ","$183,602 ",100%,-,-
404,Giant Little Ones,"$181,507 ","$181,507 ",100%,-,-
405,Rafiki,"$181,316 ","$137,968 ",76.10%,"$43,348 ",23.90%
406,Mr. Klein,"$178,408 ","$178,408 ",100%,-,-
407,Walking on Water,"$178,119 ","$102,140 ",57.30%,"$75,979 ",42.70%
408,Modest Heroes,"$178,027 ","$178,027 ",100%,-,-
409,The Warrior Queen of Jhansi,"$177,289 ","$177,289 ",100%,-,-
410,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387 ","$176,387 ",100%,-,-
411,Bolshoi Ballet: The Golden Age,"$171,916 ","$171,916 ",100%,-,-
412,Little Woods,"$171,912 ","$150,010 ",87.30%,"$21,902 ",12.70%
413,Palau the Movie,"$171,155 ","$134,696 ",78.70%,"$36,459 ",21.30%
414,Britt-Marie Was Here,"$168,488 ","$36,549 ",21.70%,"$131,939 ",78.30%
415,Them That Follow,"$166,262 ","$159,218 ",95.80%,"$7,044 ",4.20%
416,Bright Ones,"$165,627 ","$165,627 ",100%,-,-
417,The Chambermaid,"$164,531 ","$86,422 ",52.50%,"$78,109 ",47.50%
418,Halston,"$161,675 ","$151,991 ",94%,"$9,684 ",6%
419,"Diana Ross: Her Life, Love and Legacy","$160,968 ","$160,968 ",100%,-,-
420,Buñuel in the Labyrinth of the Turtles,"$156,432 ","$36,205 ",23.10%,"$120,227 ",76.90%
421,Money,"$155,732 ","$155,732 ",100%,-,-
422,Before You Know It,"$151,507 ","$151,507 ",100%,-,-
423,Jay Myself,"$151,331 ","$151,331 ",100%,-,-
424,Glory 2019 Re-release,"$150,801 ","$150,801 ",100%,-,-
425,Piercing,"$149,211 ","$15,856 ",10.60%,"$133,355 ",89.40%
426,Trial by Fire,"$148,504 ","$148,504 ",100%,-,-
427,War and Peace,"$148,503 ","$148,503 ",100%,-,-
428,Driven,"$147,172 ",-,-,"$147,172 ",100%
429,Framing John DeLorean,"$145,625 ","$145,625 ",100%,-,-
430,Doctor Who: Logopolis: Part One/Doctor Who: Logopolis: Part Two/Doctor Who: Logopolis: Part Three/Doctor Who: Logopolis: Part Four/Doctor Who,"$143,248 ","$143,248 ",100%,-,-
431,INXS: Baby Live at Wembly Stadium,"$142,395 ",-,-,"$142,395 ",100%
432,Canelo vs. Kovalev,"$140,820 ","$140,820 ",100%,-,-
433,Who Will Write Our History,"$138,039 ","$138,039 ",100%,-,-
434,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888 ","$137,888 ",100%,-,-
435,Sonchiriya,"$135,413 ","$86,765 ",64.10%,"$48,648 ",35.90%
436,The Other Story,"$135,191 ","$135,191 ",100%,-,-
437,Made in Abyss: Journey's Dawn,"$134,194 ","$134,047 ",99.90%,$147 ,0.10%
438,The Wind,"$130,974 ","$28,252 ",21.60%,"$102,722 ",78.40%
439,Mister America,"$130,897 ","$130,897 ",100%,-,-
440,Little Monsters,"$130,381 ",-,-,"$130,381 ",100%
441,Section 375,"$129,916 ",-,-,"$129,916 ",100%
442,Paris Is Burning 2019 Re-release,"$125,677 ","$125,677 ",100%,-,-
443,This Changes Everything,"$125,348 ","$64,988 ",51.80%,"$60,360 ",48.20%
444,Mary Magdalene 2019 Re-release,"$124,741 ","$124,741 ",100%,-,-
445,Easy Rider 2019 Re-release,"$123,276 ","$123,276 ",100%,-,-
446,Be Natural: The Untold Story of Alice Guy-Blaché,"$122,909 ","$113,765 ",92.60%,"$9,144 ",7.40%
447,A Tuba to Cuba,"$121,772 ","$121,772 ",100%,-,-
448,Avant qu'on explose,"$119,894 ","$119,894 ",100%,-,-
449,Mob Psycho 100,"$115,766 ","$115,766 ",100%,-,-
450,Police Story,"$113,164 ","$113,164 ",100%,-,-
451,Skin,"$112,833 ",-,-,"$112,833 ",100%
452,Babylon,"$109,749 ","$109,749 ",100%,-,-
453,The Whistlers,"$109,557 ",-,-,"$109,557 ",100%
454,Little Joe,"$107,466 ",-,-,"$107,466 ",100%
455,The Brink,"$106,057 ","$106,057 ",100%,-,-
456,Cold Case Hammarskjöld,"$104,965 ","$104,965 ",100%,-,-
457,Hotel by the River,"$101,879 ","$28,354 ",27.80%,"$73,525 ",72.20%
458,Varda by Agnès,"$100,372 ","$28,432 ",28.30%,"$71,940 ",71.70%
459,Heavy Water,"$99,503 ","$55,446 ",55.70%,"$44,057 ",44.30%
460,High Strung Free Dance 2019 Re-release,"$98,481 ","$83,891 ",85.20%,"$14,590 ",14.80%
461,Charlie Says,"$98,240 ","$40,685 ",41.40%,"$57,555 ",58.60%
462,Prassthanam,"$97,204 ","$19,984 ",20.60%,"$77,220 ",79.40%
463,Saint Judy,"$96,212 ","$78,935 ",82%,"$17,277 ",18%
464,Papi Chulo,"$94,321 ","$84,703 ",89.80%,"$9,618 ",10.20%
465,A Bigger Splash 2019 Re-release,"$91,303 ","$91,303 ",100%,-,-
466,Mapplethorpe,"$91,002 ","$91,002 ",100%,-,-
467,Loopers: The Caddie's Long Walk,"$90,679 ","$90,679 ",100%,-,-
468,The Lumber Baron,"$88,336 ","$88,336 ",100%,-,-
469,Jim Allison: Breakthrough,"$87,984 ","$87,984 ",100%,-,-
470,ECCO,"$86,858 ","$86,858 ",100%,-,-
471,Vault,"$86,630 ","$29,491 ",34%,"$57,139 ",66%
472,Cyrano de Bergerac,"$86,300 ","$86,300 ",100%,-,-
473,Skid Row Marathon,"$84,997 ","$84,997 ",100%,-,-
474,Woodstock,"$84,440 ","$84,440 ",100%,-,-
475,The Final Wish,"$82,959 ","$25,183 ",30.40%,"$57,776 ",69.60%
476,Prey,"$82,258 ",-,-,"$82,258 ",100%
477,Batman Returns 2019 Re-release,"$80,699 ","$70,642 ",87.50%,"$10,057 ",12.50%
478,Ms. Purple,"$80,657 ","$80,657 ",100%,-,-
479,Armstrong,"$79,854 ","$19,740 ",24.70%,"$60,114 ",75.30%
480,Fast Color,"$76,916 ","$76,916 ",100%,-,-
481,"Love, Antosha","$75,308 ","$50,168 ",66.60%,"$25,140 ",33.40%
482,Christ Stopped at Eboli,"$74,349 ","$74,349 ",100%,-,-
483,5B,"$72,968 ","$72,968 ",100%,-,-
484,Greener Grass,"$71,838 ","$51,456 ",71.60%,"$20,382 ",28.40%
485,Free Trip to Egypt 2019 Re-release,"$71,087 ","$71,087 ",100%,-,-
486,Last Year at Marienbad 2019 Re-release,"$68,402 ","$63,425 ",92.70%,"$4,977 ",7.30%
487,Being Frank,"$67,343 ","$67,343 ",100%,-,-
488,QT8: The First Eight,"$65,188 ","$51,896 ",79.60%,"$13,292 ",20.40%
489,End of the Century,"$64,880 ","$64,880 ",100%,-,-
490,The Kingmaker,"$62,874 ","$62,874 ",100%,-,-
491,The Mountain,"$61,035 ","$61,035 ",100%,-,-
492,¡He matado a mi marido!,"$60,995 ","$45,777 ",75.10%,"$15,218 ",24.90%
493,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795 ","$59,795 ",100%,-,-
494,Making Waves: The Art of Cinematic Sound,"$57,144 ","$46,290 ",81%,"$10,854 ",19%
495,Notebook,"$56,166 ",-,-,"$56,166 ",100%
496,Kind Hearts and Coronets 2019 Re-release,"$52,193 ","$8,004 ",15.30%,"$44,189 ",84.70%
497,Clinton Road,"$50,400 ","$50,400 ",100%,-,-
498,Free Trip to Egypt,"$49,693 ","$49,693 ",100%,-,-
499,The Bounty Killer,"$48,815 ","$48,815 ",100%,-,-
500,The Queen,"$47,818 ","$47,818 ",100%,-,-
501,The Raft,"$47,269 ","$39,678 ",83.90%,"$7,591 ",16.10%
502,High on the Hog,"$45,696 ","$45,696 ",100%,-,-
503,The Proposal,"$45,149 ","$45,149 ",100%,-,-
504,The Cave,"$45,096 ","$45,096 ",100%,-,-
505,Celebration,"$44,898 ","$22,557 ",50.20%,"$22,341 ",49.80%
506,What Is Democracy?,"$44,536 ","$44,536 ",100%,-,-
507,Maze 2019 Re-release,"$44,381 ","$44,381 ",100%,-,-
508,Carmine Street Guitars,"$44,253 ","$44,253 ",100%,-,-
509,Union,"$41,656 ","$41,656 ",100%,-,-
510,Slut in a Good Way,"$40,513 ","$40,513 ",100%,-,-
511,Aniara,"$40,124 ","$40,124 ",100%,-,-
512,Midnight Traveler,"$40,103 ","$40,103 ",100%,-,-
513,Zilla and Zoe,"$39,003 ","$39,003 ",100%,-,-
514,Shed of the Dead,"$38,901 ","$38,901 ",100%,-,-
515,Batman Forever 2019 Re-release,"$38,387 ","$38,014 ",99%,$373 ,1%
516,Memory: The Origins of Alien,"$37,272 ","$31,378 ",84.20%,"$5,894 ",15.80%
517,What You Gonna Do When the World's on Fire?,"$37,195 ","$4,672 ",12.60%,"$32,523 ",87.40%
518,The Quiet One,"$37,010 ","$37,010 ",100%,-,-
519,The Death of Dick Long,"$36,856 ","$36,856 ",100%,-,-
520,Our Time,"$36,240 ","$14,777 ",40.80%,"$21,463 ",59.20%
521,Loro,"$35,613 ","$35,613 ",100%,-,-
522,Killer Unicorn,"$33,901 ","$33,901 ",100%,-,-
523,Moonlight Sonata: Deafness in Three Movements,"$33,823 ","$33,823 ",100%,-,-
524,An Acceptable Loss,"$32,427 ","$32,427 ",100%,-,-
525,10E,"$32,413 ","$32,413 ",100%,-,-
526,Ága,"$32,087 ","$32,087 ",100%,-,-
527,Desolation Center,"$32,016 ","$32,016 ",100%,-,-
528,Buddy,"$31,203 ","$31,203 ",100%,-,-
529,Gift,"$31,103 ","$31,103 ",100%,-,-
530,Pasolini 2019 Re-release,"$30,757 ","$30,757 ",100%,-,-
531,Los Reyes,"$30,418 ","$30,418 ",100%,-,-
532,Lionel Richie at Glastonbury,"$30,123 ","$30,123 ",100%,-,-
533,The Ground Beneath My Feet,"$29,251 ","$29,251 ",100%,-,-
534,Batman & Robin 2019 Re-release,"$28,793 ","$28,597 ",99.30%,$196 ,0.70%
535,The Cat Rescuers,"$28,698 ","$28,698 ",100%,-,-
536,The Load,"$28,118 ","$28,118 ",100%,-,-
537,El Norte 2019 Re-release,"$27,920 ","$27,920 ",100%,-,-
538,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768 ","$17,122 ",61.70%,"$10,646 ",38.30%
539,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073 ","$27,073 ",100%,-,-
540,Wrestle,"$26,597 ","$26,597 ",100%,-,-
541,Rosie,"$26,441 ","$6,839 ",25.90%,"$19,602 ",74.10%
542,Donnybrook,"$26,284 ","$26,284 ",100%,-,-
543,The Aspern Papers,"$24,554 ","$9,277 ",37.80%,"$15,277 ",62.20%
544,Hyenas,"$24,272 ","$24,272 ",100%,-,-
545,Chasing Einstein,"$24,057 ","$24,057 ",100%,-,-
546,Ode to Joy,"$22,594 ","$17,303 ",76.60%,"$5,291 ",23.40%
547,The Sound of Silence,"$21,994 ","$20,013 ",91%,"$1,981 ",9%
548,Wicked Witches,"$21,600 ","$21,600 ",100%,-,-
549,Round of Your Life,"$20,941 ","$20,941 ",100%,-,-
550,General Magic,"$20,046 ","$20,046 ",100%,-,-
551,The Gospel of Eureka,"$20,039 ","$20,039 ",100%,-,-
552,Before Stonewall,"$18,724 ","$18,724 ",100%,-,-
553,The Return of Martin Guerre 2019 Re-release,"$18,603 ","$18,603 ",100%,-,-
554,"Phoenix, Oregon","$18,356 ","$18,356 ",100%,-,-
555,Scandalous: The True Story of the National Enquirer,"$18,174 ","$18,174 ",100%,-,-
556,The Cranes Are Flying,"$17,923 ","$17,923 ",100%,-,-
557,Citizen K,"$17,076 ","$15,195 ",89%,"$1,881 ",11%
558,Joseph Pulitzer: Voice of the People,"$16,970 ","$16,970 ",100%,-,-
559,Chained for Life,"$16,826 ","$16,826 ",100%,-,-
560,The Perfect Race,"$16,498 ","$16,498 ",100%,-,-
561,Virginia Minnesota,"$16,118 ","$16,118 ",100%,-,-
562,Starfish,"$15,849 ","$15,849 ",100%,-,-
563,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712 ","$15,712 ",100%,-,-
564,The Competition 2019 Re-release,"$15,622 ","$15,622 ",100%,-,-
565,Between the Lines,"$15,383 ","$15,383 ",100%,-,-
566,Funan,"$15,152 ","$15,152 ",100%,-,-
567,Wrinkles the Clown,"$14,938 ","$14,938 ",100%,-,-
568,ZZ Top: That Little Ol' Band from Texas,"$14,879 ","$14,879 ",100%,-,-
569,My Son 2019 Re-release,"$14,450 ","$14,450 ",100%,-,-
570,Combat Obscura,"$14,242 ","$14,242 ",100%,-,-
571,Screwball,"$13,967 ","$13,967 ",100%,-,-
572,Genesis,"$13,856 ","$6,784 ",49%,"$7,072 ",51%
573,This One's for the Ladies,"$13,688 ","$13,688 ",100%,-,-
574,The Woman Who Loves Giraffes,"$13,520 ","$13,520 ",100%,-,-
575,Rapid Response,"$13,294 ","$13,294 ",100%,-,-
576,Off Season,"$12,544 ","$12,544 ",100%,-,-
577,Bricked,"$12,201 ","$12,201 ",100%,-,-
578,Zen for Nothing,"$12,107 ","$12,107 ",100%,-,-
579,Imprisoned,"$12,050 ","$12,050 ",100%,-,-
580,Quartet,"$12,042 ","$12,042 ",100%,-,-
581,"Cassandro, The Exotico!","$11,897 ","$11,897 ",100%,-,-
582,In Like Flynn,"$11,255 ","$11,255 ",100%,-,-
583,Made Me Do It,"$11,151 ","$11,151 ",100%,-,-
584,Suburban Birds,"$10,997 ","$10,997 ",100%,-,-
585,If the Dancer Dances,"$10,912 ","$10,912 ",100%,-,-
586,Vision Portraits,"$10,771 ","$10,771 ",100%,-,-
587,Olivia,"$9,934 ","$9,934 ",100%,-,-
588,Streetwise,"$9,904 ","$9,904 ",100%,-,-
589,The Spanish Prisoner 2019 Re-release,"$9,589 ","$9,589 ",100%,-,-
590,Stuffed,"$9,458 ","$9,458 ",100%,-,-
591,Fritz Lang's Indian Epic 2019 re-release,"$9,345 ","$9,345 ",100%,-,-
592,A Dark Place,"$9,212 ",-,-,"$9,212 ",100%
593,Cracked Up,"$9,197 ","$9,197 ",100%,-,-
594,Frantz Fanon: Black Skin White Mask,"$9,025 ","$9,025 ",100%,-,-
595,The Meanest Man in Texas,"$8,850 ","$8,850 ",100%,-,-
596,That Part Feeling - the Universe of Arvo Part,"$8,812 ","$8,812 ",100%,-,-
597,The Dead Center,"$8,320 ","$8,320 ",100%,-,-
598,Angels Are Made Of Light,"$7,919 ","$7,919 ",100%,-,-
599,This Magnificent Cake!,"$7,888 ","$7,888 ",100%,-,-
600,Ghost Fleet,"$7,850 ","$7,850 ",100%,-,-
601,The Plagiarists,"$7,768 ","$7,768 ",100%,-,-
602,I'll Take Your Dead,"$7,692 ","$7,692 ",100%,-,-
603,Gregory's Girl,"$7,321 ","$7,321 ",100%,-,-
604,Beloved Beast,"$7,301 ","$7,301 ",100%,-,-
605,Shooting the Mafia,"$7,228 ","$7,228 ",100%,-,-
606,Dying to Survive 2019 Re-release,"$6,752 ","$6,752 ",100%,-,-
607,Under the Eiffel Tower,"$6,291 ","$6,291 ",100%,-,-
608,Relaxer,"$6,133 ","$6,133 ",100%,-,-
609,Série noire,"$5,633 ","$5,633 ",100%,-,-
610,The Miracle of the Little Prince,"$5,553 ","$5,553 ",100%,-,-
611,Chokehold,"$5,200 ","$5,200 ",100%,-,-
612,100 Acres of Hell,"$5,152 ","$5,152 ",100%,-,-
613,Body at Brighton Rock,"$5,123 ","$5,123 ",100%,-,-
614,Chulas Fronteras,"$5,021 ","$5,021 ",100%,-,-
615,The Garden,"$5,006 ","$5,006 ",100%,-,-
616,Malek,"$4,898 ","$4,898 ",100%,-,-
617,I'm Leaving Now,"$4,488 ","$4,488 ",100%,-,-
618,SGT. Will Gardner,"$4,405 ","$4,405 ",100%,-,-
619,Tito and the Birds,"$4,332 ","$4,332 ",100%,-,-
620,The Fate of Lee Khan,"$4,295 ","$4,295 ",100%,-,-
621,State Like Sleep,"$4,282 ","$4,282 ",100%,-,-
622,The Gliksmans,"$4,080 ","$4,080 ",100%,-,-
623,La Flor,"$4,032 ","$4,032 ",100%,-,-
624,Mother of a Day,"$3,919 ","$3,919 ",100%,-,-
625,Wallflower,"$3,801 ","$3,801 ",100%,-,-
626,The Wandering Soap Opera,"$3,624 ","$3,624 ",100%,-,-
627,Rottentail,"$3,383 ","$3,383 ",100%,-,-
628,Chasing Portraits,"$3,076 ","$3,076 ",100%,-,-
629,When Lambs Become Lions,"$2,943 ","$2,943 ",100%,-,-
630,The Song of Names,"$2,881 ",-,-,"$2,881 ",100%
631,Back to the Fatherland,"$2,697 ","$2,697 ",100%,-,-
632,Joan the Maid 1: The Battles,"$2,562 ","$2,562 ",100%,-,-
633,TINY: The Life of Erin Blackwell,"$2,465 ","$2,465 ",100%,-,-
634,I Lost Albert 2019 Re-release,"$2,354 ","$2,354 ",100%,-,-
635,Serendipity,"$2,298 ","$2,298 ",100%,-,-
636,Jihadists,"$2,104 ","$2,104 ",100%,-,-
637,A German Youth,"$1,834 ","$1,834 ",100%,-,-
638,Jimi Hendrix Electric Church,"$1,818 ",-,-,"$1,818 ",100%
639,Game Day,"$1,624 ","$1,624 ",100%,-,-
640,The Hours and Times,"$1,273 ","$1,273 ",100%,-,-
641,The Untold Story,$790 ,$790 ,100%,-,-
642,The Portal,$685 ,-,-,$685 ,100%
